org,청년광장,서담,학과·기관 홈페이지,합계,사용채널수,주채널
곤자가 국제학사,47,35,109,191,3,학과·기관 홈페이지
전인교육원,104,32,48,184,3,청년광장
교수학습센터,70,14,3,87,3,청년광장
벨라르미노 학사,5,9,65,79,3,학과·기관 홈페이지
전문대학원행정팀,33,42,0,75,2,서담
법학전문대학원,55,4,3,62,3,청년광장
교양영어,30,31,0,61,2,서담
입학처,18,39,3,60,3,서담
중국문화,13,11,35,59,3,학과·기관 홈페이지
국어국문학,5,7,45,57,3,학과·기관 홈페이지
발전홍보팀,31,25,0,56,2,청년광장
학사지원팀,32,21,0,53,2,청년광장
경영전문대학원,41,10,0,51,2,청년광장
인사총무팀,21,28,0,49,2,서담
법학전문대학원행정팀,33,10,0,43,2,청년광장
미디어커뮤니케이션대학원,27,2,14,43,3,청년광장
기계공학,0,0,43,43,1,학과·기관 홈페이지
심리학,25,9,9,43,3,청년광장
글쓰기센터,27,14,0,41,2,청년광장
대학원행정팀,14,14,10,38,3,청년광장
관재시설팀,16,20,2,38,3,서담
교목처,13,2,23,38,3,학과·기관 홈페이지
사학,3,2,32,37,3,학과·기관 홈페이지
한국어교육원,21,16,0,37,2,청년광장
인권 · 성평등센터,21,2,11,34,3,청년광장
전인교육원 행정팀,18,8,7,33,3,청년광장
취업지원팀,7,25,0,32,2,서담
커뮤니케이션센터,9,20,0,29,2,서담
일본문화전공,12,16,0,28,2,서담
재무팀,10,18,0,28,2,서담
신학대학원,13,11,3,27,3,청년광장
국제처,17,9,0,26,2,청년광장
여성학과,20,5,0,25,2,청년광장
철학,12,10,0,22,2,청년광장
교양교육연구센터,14,6,2,22,3,청년광장
수학,11,10,0,21,2,청년광장
교무팀,0,20,0,20,1,서담
입학팀,1,19,0,20,2,서담
출판부,5,0,14,19,2,학과·기관 홈페이지
사회학,16,3,0,19,2,청년광장
인성교육센터,8,9,1,18,3,서담
국제교류팀,7,6,3,16,3,청년광장
장애학생지원센터,4,5,6,15,3,학과·기관 홈페이지
메리홀,4,11,0,15,2,서담
로욜라국제대학,10,5,0,15,2,청년광장
원격교육지원센터,8,7,0,15,2,청년광장
화공생명공학,0,0,15,15,1,학과·기관 홈페이지
종합봉사실,8,6,0,14,2,청년광장
인문학기반 자유전공학부,3,10,1,14,3,서담
국제지역문화원,3,0,10,13,2,학과·기관 홈페이지
종교학,13,0,0,13,1,청년광장
메타버스전문대학원,5,1,7,13,3,학과·기관 홈페이지
유럽문화,10,3,0,13,2,청년광장
융합교육원,5,2,5,12,3,청년광장
기술경영전문대학원,7,5,0,12,2,청년광장
경영대학행정팀,2,10,0,12,2,서담
사회과학대학,5,7,0,12,2,서담
AI·SW교육센터,4,0,7,11,2,학과·기관 홈페이지
학생지원팀,5,6,0,11,2,서담
총동문회,1,10,0,11,2,서담
산학연계교육센터,6,5,0,11,2,청년광장
생명과학,0,0,11,11,1,학과·기관 홈페이지
경제대학행정팀,6,5,0,11,2,청년광장
동아연구소,8,2,0,10,2,청년광장
경제대학원,2,8,0,10,2,서담
공공정책대학원,2,2,6,10,3,학과·기관 홈페이지
경제학,1,9,0,10,2,서담
물리학,0,0,9,9,1,학과·기관 홈페이지
로욜라국제대학 / 국제대학원 행정팀,3,6,0,9,2,서담
아트&테크놀로지,9,0,0,9,1,청년광장
영상대학원,7,2,0,9,2,청년광장
게임&평생교육원,1,8,0,9,2,서담
대학혁신추진단,4,5,0,9,2,서담
일반대학원,4,1,3,8,3,청년광장
사회과학대학행정팀,3,2,3,8,3,청년광장
영문학부,7,1,0,8,2,청년광장
교육혁신팀,2,6,0,8,2,서담
융합교육혁신팀,2,5,0,7,2,서담
미래교육원,5,1,0,6,2,청년광장
연구처·산학협력단,4,2,0,6,2,청년광장
국제학생팀,5,1,0,6,2,청년광장
인공지능학,1,2,2,5,3,서담
디지털정보처,5,0,0,5,1,청년광장
트랜스내셔널인문학연구소,3,1,1,5,3,청년광장
컴퓨터공학,0,2,3,5,2,학과·기관 홈페이지
기숙사,0,3,2,5,2,서담
메타버스융합연구소,0,0,5,5,1,학과·기관 홈페이지
고시반(토마스모어관),2,3,0,5,2,서담
교육대학원,2,1,2,5,3,청년광장
교육문화연계전공,3,1,1,5,3,청년광장
교양국어,2,2,0,4,2,청년광장
자연과학대학행정팀,1,0,3,4,2,학과·기관 홈페이지
신학연구소,0,0,4,4,1,학과·기관 홈페이지
공과대학,0,0,4,4,1,학과·기관 홈페이지
정치외교학,1,2,1,4,3,서담
종교연구소,4,0,0,4,1,청년광장
HUSS 사회구조 사업단,0,4,0,4,1,서담
학생생활상담연구소,2,1,1,4,3,청년광장
융합소프트웨어연계전공,1,0,3,4,2,학과·기관 홈페이지
도서관,3,0,0,3,1,청년광장
경영대학,1,2,0,3,2,서담
가상융합전문대학원,3,0,0,3,1,청년광장
지식융합미디어대학행정팀,2,0,1,3,2,청년광장
인문사회 융합인재양성사업단,3,0,0,3,1,청년광장
교목팀,3,0,0,3,1,청년광장
서강교육그룹,1,2,0,3,2,서담
스마트설계생산기술연구소,0,0,3,3,1,학과·기관 홈페이지
지식융합대학행정팀,0,2,0,2,1,서담
STNT어학센터,0,2,0,2,1,서담
알바트로스어학센터,0,2,0,2,1,서담
SW중심대학사업단,1,0,1,2,2,청년광장
시스템반도체공학,0,0,2,2,1,학과·기관 홈페이지
소프트웨어융합대학행정팀,2,0,0,2,1,청년광장
빅데이터사이언스연계전공,0,0,2,2,1,학과·기관 홈페이지
이냐시오인재센터,1,1,0,2,2,청년광장
공과대학행정팀,0,0,2,2,1,학과·기관 홈페이지
Sogang KIP,0,2,0,2,1,서담
창업지원단,0,2,0,2,1,서담
LINC사업팀,1,1,0,2,2,청년광장
AI·SW대학원,1,0,0,1,1,청년광장
철학연구소,0,1,0,1,1,서담
체육관,0,0,1,1,1,학과·기관 홈페이지
지식정보기획팀,0,1,0,1,1,서담
영원한 증언 프로젝트,0,1,0,1,1,서담
RISE 사업팀,1,0,0,1,1,청년광장
커뮤니케이션학전공,0,0,1,1,1,학과·기관 홈페이지
상담심리학전공,1,0,0,1,1,청년광장
바이오기술·투자전문인력양성센터,1,0,0,1,1,청년광장
핀테크 연구센터,0,1,0,1,1,서담
학과,0,0,1,1,1,학과·기관 홈페이지
학과사무실 및 산학협력단 현장실습센터,0,0,1,1,1,학과·기관 홈페이지
사회봉사센터,0,0,1,1,1,학과·기관 홈페이지
국제문화교육원,0,1,0,1,1,서담
AMBM Lab,0,0,1,1,1,학과·기관 홈페이지
