org,청년광장,서담,학과·기관 홈페이지,합계,사용채널수,주채널
전인교육원,38,22,45,105,3,학과·기관 홈페이지
곤자가 국제학사,6,21,25,52,3,학과·기관 홈페이지
법학전문대학원,35,4,0,39,2,청년광장
입학처,8,27,3,38,3,서담
교수학습센터,26,7,3,36,3,청년광장
법학전문대학원행정팀,21,10,0,31,2,청년광장
학사지원팀,15,15,0,30,2,청년광장
벨라르미노 학사,0,4,25,29,2,학과·기관 홈페이지
한국어교육원,16,11,0,27,2,청년광장
경영전문대학원,18,8,0,26,2,청년광장
교양영어,11,12,0,23,2,서담
국어국문학,4,3,15,22,3,학과·기관 홈페이지
일본문화전공,7,15,0,22,2,서담
대학원행정팀,11,8,0,19,2,청년광장
인사총무팀,1,17,0,18,2,서담
커뮤니케이션센터,2,16,0,18,2,서담
입학팀,1,16,0,17,2,서담
국제처,8,9,0,17,2,서담
인성교육센터,7,9,1,17,3,서담
취업지원팀,5,11,0,16,2,서담
철학,10,6,0,16,2,청년광장
심리학,11,5,0,16,2,청년광장
전문대학원행정팀,6,9,0,15,2,서담
인권 · 성평등센터,9,1,5,15,3,청년광장
미디어커뮤니케이션대학원,10,2,3,15,3,청년광장
로욜라국제대학,10,5,0,15,2,청년광장
글쓰기센터,9,5,0,14,2,청년광장
발전홍보팀,6,8,0,14,2,서담
인문학기반 자유전공학부,3,10,1,14,3,서담
관재시설팀,6,7,0,13,2,서담
종합봉사실,7,5,0,12,2,청년광장
경영대학행정팀,2,10,0,12,2,서담
융합교육원,5,2,5,12,3,청년광장
여성학과,7,3,0,10,2,청년광장
전인교육원 행정팀,5,0,5,10,2,청년광장
산학연계교육센터,5,4,0,9,2,청년광장
사회과학대학,4,5,0,9,2,서담
원격교육지원센터,6,3,0,9,2,청년광장
교무팀,0,9,0,9,1,서담
국제교류팀,3,3,3,9,3,청년광장
로욜라국제대학 / 국제대학원 행정팀,3,6,0,9,2,서담
장애학생지원센터,4,5,0,9,2,서담
사회학,5,3,0,8,2,청년광장
사학,1,0,7,8,2,학과·기관 홈페이지
영문학부,7,1,0,8,2,청년광장
대학혁신추진단,3,5,0,8,2,서담
기술경영전문대학원,4,4,0,8,2,청년광장
교육혁신팀,2,6,0,8,2,서담
교양교육연구센터,6,2,0,8,2,청년광장
중국문화,0,0,7,7,1,학과·기관 홈페이지
융합교육혁신팀,2,5,0,7,2,서담
학생지원팀,1,5,0,6,2,서담
화공생명공학,0,0,6,6,1,학과·기관 홈페이지
경제대학행정팀,3,3,0,6,2,청년광장
미래교육원,5,1,0,6,2,청년광장
국제학생팀,5,1,0,6,2,청년광장
기계공학,0,0,6,6,1,학과·기관 홈페이지
교육문화연계전공,3,1,1,5,3,청년광장
인공지능학,1,2,2,5,3,서담
일반대학원,3,1,1,5,3,청년광장
교목처,1,1,3,5,3,학과·기관 홈페이지
출판부,0,0,5,5,1,학과·기관 홈페이지
재무팀,0,5,0,5,1,서담
메리홀,0,4,0,4,1,서담
HUSS 사회구조 사업단,0,4,0,4,1,서담
AI·SW교육센터,0,0,3,3,1,학과·기관 홈페이지
종교학,3,0,0,3,1,청년광장
인문사회 융합인재양성사업단,3,0,0,3,1,청년광장
정치외교학,1,2,0,3,2,서담
교양국어,1,2,0,3,2,서담
가상융합전문대학원,3,0,0,3,1,청년광장
메타버스전문대학원,2,0,1,3,2,청년광장
LINC사업팀,1,1,0,2,2,청년광장
학생생활상담연구소,1,0,1,2,2,청년광장
창업지원단,0,2,0,2,1,서담
SW중심대학사업단,1,0,1,2,2,청년광장
총동문회,1,1,0,2,2,청년광장
Sogang KIP,0,2,0,2,1,서담
경제대학원,1,1,0,2,2,청년광장
빅데이터사이언스연계전공,0,0,2,2,1,학과·기관 홈페이지
공과대학,0,0,2,2,1,학과·기관 홈페이지
교육대학원,1,1,0,2,2,청년광장
국제지역문화원,2,0,0,2,1,청년광장
동아연구소,2,0,0,2,1,청년광장
스마트설계생산기술연구소,0,0,2,2,1,학과·기관 홈페이지
이냐시오인재센터,1,1,0,2,2,청년광장
시스템반도체공학,0,0,2,2,1,학과·기관 홈페이지
사회과학대학행정팀,2,0,0,2,1,청년광장
유럽문화,1,1,0,2,2,청년광장
융합소프트웨어연계전공,0,0,2,2,1,학과·기관 홈페이지
소프트웨어융합대학행정팀,2,0,0,2,1,청년광장
LINC 사업단 창업교육센터,0,1,0,1,1,서담
AI·SW대학원,1,0,0,1,1,청년광장
체육관,0,0,1,1,1,학과·기관 홈페이지
메타버스융합연구소,0,0,1,1,1,학과·기관 홈페이지
RISE 사업팀,1,0,0,1,1,청년광장
상담심리학전공,1,0,0,1,1,청년광장
생명과학,0,0,1,1,1,학과·기관 홈페이지
현장실습지원센터,0,0,1,1,1,학과·기관 홈페이지
지식융합미디어대학행정팀,0,0,1,1,1,학과·기관 홈페이지
수학,0,1,0,1,1,서담
가상자산연구소,0,0,1,1,1,학과·기관 홈페이지
신학대학원,0,1,0,1,1,서담
디지털인문학연계전공,1,0,0,1,1,청년광장
경제대학,0,1,0,1,1,서담
연구처·산학협력단,0,1,0,1,1,서담
기숙사,0,1,0,1,1,서담
고시반(토마스모어관),0,1,0,1,1,서담
공공정책대학원,1,0,0,1,1,청년광장
부동산학협동과정,1,0,0,1,1,청년광장
