부문,상위조직,조직명,매칭조직,등급,등급_2022이후,등급_2025이후,청년광장,서담,학과·기관 홈페이지
총장 직속,총장 직속,총장실,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
총장 직속,총장 직속,감사실,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,행정부서,교목처,교목처,A. 공개 채널 게시,A. 공개 채널 게시,B. 자기 홈페이지에만,13,2,23
행정부서,교목처,교목팀,교목처,A. 공개 채널 게시,A. 공개 채널 게시,B. 자기 홈페이지에만,13,2,23
행정부서,행정부서,교무처,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,교무처,교무팀,교무팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,0,20,0
행정부서,교무처,학사지원팀,학사지원팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,32,21,0
행정부서,교무처,종합봉사실,종합봉사실,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,8,6,0
행정부서,교무처,교수학습센터,교수학습센터,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,70,14,3
행정부서,행정부서,입학처,입학처,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,18,39,3
행정부서,입학처,입학팀,입학처,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,18,39,3
행정부서,행정부서,학생문화처,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,학생문화처,학생지원팀,학생지원팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,5,6,0
행정부서,학생문화처,취업지원팀,취업지원팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,7,25,0
행정부서,학생문화처,현장실습지원센터,현장실습지원센터,B. 자기 홈페이지에만,B. 자기 홈페이지에만,C. 게시 이력 없음,0,0,1
행정부서,학생문화처,장애학생지원센터,장애학생지원센터,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,4,5,6
행정부서,행정부서,기획처,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,기획처,전략기획단,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,기획처,전략기획팀,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,기획처,IR센터,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,기획처,예산팀,예산팀,A. 공개 채널 게시,C. 게시 이력 없음,C. 게시 이력 없음,1,0,0
행정부서,기획처,대학혁신추진단,대학혁신추진단,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,4,5,0
행정부서,기획처,교육혁신팀,교육혁신팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,2,6,0
행정부서,행정부서,총무처,,C. 게시 이력 없음,C. 게시 이력 없음,C. 게시 이력 없음,0,0,0
행정부서,총무처,인사총무팀,인사총무팀,A. 공개 채널 게시,A. 공개 채널 게시,A. 공개 채널 게시,21,28,0
