조직명,전체,2022이후,2025이후
국어국문학,A 공개채널,A 공개채널,A 공개채널
사학,A 공개채널,A 공개채널,A 공개채널
철학,A 공개채널,A 공개채널,A 공개채널
종교학,A 공개채널,A 공개채널,A 공개채널
영문학부,A 공개채널,A 공개채널,A 공개채널
사회학,A 공개채널,A 공개채널,A 공개채널
심리학,A 공개채널,A 공개채널,A 공개채널
글로벌한국학부,A 공개채널,A- 상위조직,A- 상위조직
게페르트국제학부,A- 상위조직,A- 상위조직,A- 상위조직
글로벌융합학부,A- 상위조직,A- 상위조직,A- 상위조직
중국문화,A 공개채널,A 공개채널,B 홈페이지만
화공생명공학,B 홈페이지만,B 홈페이지만,B 홈페이지만
기계공학,B 홈페이지만,B 홈페이지만,B 홈페이지만
시스템반도체공학,B 홈페이지만,B 홈페이지만,B 홈페이지만
유럽문화,A 공개채널,A 공개채널,C 없음
정치외교학,A 공개채널,A 공개채널,C 없음
수학,A 공개채널,A 공개채널,C 없음
경제학,A 공개채널,A 공개채널,C 없음
신문방송학전공,A 공개채널,A 공개채널,C 없음
컴퓨터공학,A 공개채널,A 공개채널,C 없음
인공지능학,A 공개채널,A 공개채널,C 없음
생명과학,B 홈페이지만,B 홈페이지만,C 없음
경영학,A 공개채널,C 없음,C 없음
국제한국학,A 공개채널,C 없음,C 없음
아트&테크놀로지,A 공개채널,C 없음,C 없음
글로벌한국학,A 공개채널,C 없음,C 없음
물리학,B 홈페이지만,C 없음,C 없음
커뮤니케이션학전공,B 홈페이지만,C 없음,C 없음
화학,C 없음,C 없음,C 없음
전자공학,C 없음,C 없음,C 없음
반도체공학,C 없음,C 없음,C 없음
미디어&엔터테인먼트,C 없음,C 없음,C 없음
