org,공고수,투명성점수,임금,근무시간,근무기간,모집인원,지원마감일,자격요건,지원방법,문의처,주채널,사용채널수
전인교육원,184,73.4,91.8,43.5,51.6,29.9,89.7,94.6,93.5,92.9,청년광장,3
교수학습센터,87,79.2,94.3,92.0,81.6,43.7,32.2,96.6,96.6,96.6,청년광장,3
곤자가 국제학사,82,76.2,69.5,37.8,63.4,68.3,79.3,96.3,98.8,96.3,청년광장,2
벨라르미노 학사,79,15.3,12.7,13.9,21.5,2.5,19.0,25.3,20.3,7.6,학과·기관 홈페이지,3
전문대학원행정팀,75,88.2,100.0,100.0,86.7,56.0,62.7,100.0,100.0,100.0,서담,2
법학전문대학원,62,87.9,95.2,83.9,93.5,67.7,71.0,98.4,100.0,93.5,청년광장,3
교양영어,61,36.5,1.6,4.9,45.9,11.5,31.1,44.3,88.5,63.9,서담,2
입학처,60,79.2,86.7,70.0,91.7,21.7,81.7,98.3,98.3,85.0,서담,3
중국문화,59,68.6,25.4,33.9,94.9,18.6,83.1,98.3,100.0,94.9,학과·기관 홈페이지,3
국어국문학,57,70.6,12.3,63.2,94.7,49.1,86.0,91.2,87.7,80.7,학과·기관 홈페이지,3
발전홍보팀,56,84.2,98.2,91.1,87.5,12.5,89.3,98.2,98.2,98.2,청년광장,2
학사지원팀,53,81.6,100.0,94.3,94.3,84.9,20.8,94.3,98.1,66.0,청년광장,2
경영전문대학원,51,81.1,96.1,98.0,98.0,9.8,49.0,100.0,100.0,98.0,청년광장,2
인사총무팀,49,86.0,100.0,93.9,93.9,44.9,57.1,100.0,100.0,98.0,서담,2
법학전문대학원행정팀,43,93.0,95.3,88.4,97.7,81.4,83.7,100.0,100.0,97.7,청년광장,2
미디어커뮤니케이션대학원,43,87.8,95.3,100.0,81.4,41.9,88.4,100.0,100.0,95.3,청년광장,3
기계공학,43,77.0,67.4,32.6,93.0,72.1,90.7,97.7,100.0,62.8,학과·기관 홈페이지,1
심리학,43,82.3,76.7,79.1,65.1,48.8,88.4,100.0,100.0,100.0,청년광장,3
글쓰기센터,41,78.7,97.6,85.4,34.1,29.3,82.9,100.0,100.0,100.0,청년광장,2
교목처,38,84.5,81.6,76.3,89.5,47.4,92.1,97.4,94.7,97.4,학과·기관 홈페이지,3
대학원행정팀,38,88.2,100.0,94.7,78.9,65.8,65.8,100.0,100.0,100.0,청년광장,3
사학,37,83.1,59.5,83.8,70.3,73.0,94.6,94.6,94.6,94.6,학과·기관 홈페이지,3
한국어교육원,37,76.4,89.2,83.8,86.5,29.7,54.1,94.6,97.3,75.7,청년광장,2
인권 ∙ 성평등센터,34,96.7,100.0,94.1,97.1,91.2,94.1,100.0,100.0,97.1,청년광장,3
전인교육원 행정팀,33,94.7,100.0,100.0,100.0,69.7,87.9,100.0,100.0,100.0,청년광장,3
취업지원팀,32,86.3,100.0,90.6,87.5,56.2,90.6,100.0,100.0,65.6,서담,2
관재팀,30,83.3,93.3,96.7,83.3,23.3,80.0,100.0,100.0,90.0,서담,3
커뮤니케이션센터,29,83.6,93.1,62.1,62.1,58.6,93.1,100.0,100.0,100.0,서담,2
재무팀,28,93.8,96.4,96.4,96.4,78.6,92.9,100.0,96.4,92.9,서담,2
일본문화전공,28,96.0,92.9,96.4,100.0,96.4,100.0,100.0,100.0,82.1,서담,2
신학대학원,27,76.9,92.6,100.0,66.7,55.6,14.8,92.6,100.0,92.6,청년광장,3
국제처,26,81.7,65.4,88.5,73.1,46.2,84.6,100.0,100.0,96.2,청년광장,2
여성학과,25,99.0,100.0,100.0,96.0,96.0,100.0,100.0,100.0,100.0,청년광장,2
철학,22,84.1,100.0,50.0,90.9,68.2,77.3,100.0,100.0,86.4,청년광장,2
교양교육연구센터,22,88.6,95.5,95.5,81.8,54.5,86.4,95.5,100.0,100.0,청년광장,3
수학,21,44.0,28.6,4.8,14.3,33.3,57.1,61.9,81.0,71.4,청년광장,2
교무팀,20,96.2,100.0,100.0,75.0,95.0,100.0,100.0,100.0,100.0,서담,1
입학팀,20,86.2,95.0,85.0,100.0,15.0,95.0,100.0,100.0,100.0,서담,2
출판부,19,78.3,100.0,21.1,100.0,5.3,100.0,100.0,100.0,100.0,학과·기관 홈페이지,2
사회학,19,89.5,84.2,100.0,100.0,47.4,94.7,100.0,100.0,89.5,청년광장,2
인성교육센터,18,99.3,100.0,100.0,100.0,94.4,100.0,100.0,100.0,100.0,서담,3
메리홀,15,84.2,100.0,93.3,53.3,33.3,100.0,100.0,100.0,93.3,서담,2
로욜라국제대학,15,71.7,100.0,13.3,40.0,73.3,100.0,100.0,100.0,46.7,청년광장,2
원격교육지원센터,15,77.5,100.0,100.0,100.0,20.0,0.0,100.0,100.0,100.0,청년광장,2
화공생명공학,15,65.0,60.0,13.3,60.0,40.0,86.7,93.3,86.7,80.0,학과·기관 홈페이지,1
국제교류팀,15,88.3,93.3,86.7,100.0,40.0,93.3,100.0,100.0,93.3,청년광장,3
장애학생지원센터,14,76.8,100.0,57.1,85.7,21.4,50.0,100.0,100.0,100.0,서담,3
인문학기반 자유전공학부,14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,서담,3
종합봉사실,14,97.3,100.0,100.0,100.0,85.7,92.9,100.0,100.0,100.0,청년광장,2
메타버스전문대학원,13,71.2,69.2,53.8,46.2,7.7,92.3,100.0,100.0,100.0,학과·기관 홈페이지,3
유럽문화,13,84.6,84.6,84.6,92.3,53.8,100.0,100.0,100.0,61.5,청년광장,2
국제지역문화원,13,23.1,15.4,15.4,15.4,15.4,69.2,15.4,15.4,23.1,학과·기관 홈페이지,2
종교학,13,82.7,92.3,76.9,53.8,84.6,92.3,92.3,100.0,69.2,청년광장,1
기술경영전문대학원,12,81.2,100.0,66.7,58.3,50.0,83.3,100.0,100.0,91.7,청년광장,2
경영대학행정팀,12,75.0,83.3,75.0,83.3,33.3,58.3,83.3,100.0,83.3,서담,2
융합교육원,12,80.2,75.0,83.3,100.0,0.0,83.3,100.0,100.0,100.0,청년광장,3
사회과학대학,12,90.6,100.0,66.7,91.7,83.3,100.0,100.0,100.0,83.3,서담,2
총동문회,11,88.6,90.9,100.0,54.5,72.7,90.9,100.0,100.0,100.0,서담,2
학생지원팀,11,77.3,72.7,72.7,90.9,18.2,63.6,100.0,100.0,100.0,서담,2
경제대학행정팀,11,68.2,100.0,100.0,18.2,18.2,36.4,100.0,81.8,90.9,청년광장,2
생명과학,11,65.9,45.5,36.4,72.7,45.5,63.6,100.0,100.0,63.6,학과·기관 홈페이지,1
산학연계교육센터,11,95.5,100.0,100.0,100.0,63.6,100.0,100.0,100.0,100.0,청년광장,2
AI·SW교육센터,11,89.8,100.0,100.0,100.0,18.2,100.0,100.0,100.0,100.0,학과·기관 홈페이지,2
경제학,10,85.0,100.0,100.0,10.0,100.0,90.0,100.0,100.0,80.0,서담,2
공공정책대학원,10,87.5,70.0,80.0,80.0,80.0,100.0,100.0,100.0,90.0,학과·기관 홈페이지,3
경제대학원,10,82.5,80.0,70.0,80.0,60.0,70.0,100.0,100.0,100.0,서담,2
