role,공고수
행정조교,374
학부조교,268
근로장학생,224
조교,195
학부 조교,154
수업조교,69
출결조교,65
층조교,47
근로조교,46
근로학생,42
행정 조교,40
대학원 조교,29
URECA 인턴,29
근무조교,21
기술조교,19
하비에르장학생,17
대학원생 조교,16
하비에르 장학생,14
TA,14
근로 장학생,14
연구교수,14
운영조교,13
문화수업 조교,11
학부생 행정조교,11
수업 조교,10
단기 근로장학생,10
TA 조교,9
중국어 조교,9
근로 조교,9
학부/대학원 조교,8
일반대학원생 행정조교,8
조교장,7
기숙사 층조교,7
층 조교,7
장학생,7
점심 근로,7
상담조교,7
모의시험 감독 조교,7
인턴,7
TA조교,7
예수회 장학생,6
시험 감독 조교,6
대학원 TA조교 및 학부조교,6
실습실 학부조교,6
대학원 행정조교,6
여자 층조교,6
연구조교,6
서류 정리 근로학생,6
수업조교(TA장학생),5
전임조교,5
수업조교(학부생),5
멘토단,5
학사 조교,5
장애학생 도우미,5
튜터,5
학부연구프로그램(URP),5
SNS 담당 근로학생,5
기자단,5
남자 층조교,5
우편실 근로장학생,5
교목교수,5
대학원 조교 및 학부조교,5
글쓰기 튜터,5
기숙사 조교,5
멘토,5
졸업가운 배부 근로장학생,5
사진촬영/SNS담당 근로학생,5
기숙사조교,4
아르바이트,4
논술시험 근로학생,4
단기근로,4
원우회실 관리조교,4
기숙사 층별 조교,4
연구 조교,4
대학원 조교 및 학부 조교,4
서포터즈,4
학기말시험 감독조교,4
학부조교 TA,4
근로,4
SNS 홍보 조교,4
행정실 조교,4
객석조교,4
행정 근로장학생,4
국가근로장학생,4
학위증 및 졸업가운 배부 근로장학생,4
대학원생 근로장학생,4
전임 행정조교,4
교양국어 행정 조교,4
영상 촬영/제작 조교,3
학부생 조교,3
연출조교,3
근로 아르바이트생,3
RA조교,3
예산조교,3
학위기 배부 및 학위가운 대여 근로장학생,3
사전준비 인원,3
야간 근로장학생,3
사감실 업무 보조,3
발열체크 근로장학생,3
시험 감독조교,3
단기 근로,3
실습 멘토,3
장애학생 교육지원인력,3
층별조교,3
층별 조교,3
일반대학원 행정조교,3
관리자과정 조교,3
외국인 담당 중국어 조교,3
중국어 담당 조교,3
근무 조교,3
시험관리원,3
테크 멘토,3
근로 학생,3
입학전형 면접보조 조교,3
국문 글쓰기 튜터,3
일일 아르바이트,3
입학전형 근로학생,3
수업운영조교,2
상담 조교,2
사무실 조교,2
사진촬영 근로학생,2
생활 환경 조교,2
상담/행사/채용조교,2
1일 근로학생,2
실습실 관리 조교,2
1일 조교,2
홍보 조교,2
행정팀 조교,2
행정조교 및 체력단련실 조교,2
행정/수업조교,2
행정/수업 조교,2
행사지원 및 안전관리 근로 장학생,2
행사 준비 근로장학생,2
학부 근로학생,2
학과 조교,2
필수 글쓰기 과목 TA 조교,2
콘텐츠개발 조교,2
콘텐츠 개발 TA,2
출결관리 조교,2
채용조교,2
중국어조교 및 층조교,2
중국어조교,2
전공 선배 멘토,2
재물조사 근무조교,2
입시 서류작업 대학원 조교,2
이러닝조교,2
이러닝 조교,2
운영TA,2
운영 보조 단기근로,2
외국인 담당 영어 조교,2
영어조교,2
여학생 층조교,2
업무보조 조교,2
모의시험 사전준비 인원,2
홍보장학생,2
대학원TA조교,2
국제학사 조교,2
대학원생 행정조교,2
SNS 담당조교,2
면접보조 조교,2
대학원생 국문튜터,2
교양신학 조교장,2
C프로그래밍 조교 및 멘토,2
면접보조원,2
SNS 담당조교 및 근로장학생,2
근로장학생(조교),2
국가근로조교,2
대학원생 TA조교,2
교양국어 학부 조교,2
겸임교수,2
SNS 근로학생,2
멀티클리닉 조교,2
SNS 근로조교,2
ZOOM 운영 지원 조교,2
단기 아르바이트,2
국제학생 학업 지원 조교,2
대학원 행정/독후감 조교,2
모니터링 조교,2
멘토조교,2
층 남자조교,1
층 여조교,1
객석 조교(어셔),1
거주지원인력(다소니 도우미),1
축제준비팀,1
최고위과정 조교,1
거주지원인력,1
모니터링TA,1
층별 조교 및 외국인 학생/통번역 조교,1
감독보조원,1
URP 인턴,1
퇴사일 아르바이트,1
테크 TA,1
클리닉 운영,1
감독 조교,1
콘텐츠개발 TA,1
코드리뷰센터 조교,1
강의실 조사 근로장학생,1
컴퓨팅사고력 조교,1
캠프 교사,1
침대청소보조,1
층조교 및 중국어조교,1
층조교 및 외국어조교,1
총학생회 임원,1
강당 관리 업무 지원 근로장학생,1
진로탐색캠프 학부생 조교,1
고시반 관리조교,1
교양영어 대학원 TA 조교 및 학부 조교,1
조교(학부생),1
조교(대학원생),1
정기입사 아르바이트,1
점심근로,1
교양영어 TA조교,1
전화 조사 아르바이트생,1
교양영어 학부조교,1
채용/상담조교,1
전시 도우미 및 캠페인 홍보 도우미,1
