term,student_id,day_of_week,start_time,end_time,preference
2026-2,20220081,1,08:00,09:00,2
2026-2,20220081,1,10:30,18:00,2
2026-2,20220081,2,08:00,09:00,2
2026-2,20220081,2,09:00,12:00,3
2026-2,20220081,2,12:00,13:30,2
2026-2,20220081,2,16:30,18:00,2
2026-2,20220081,3,08:00,09:00,2
2026-2,20220081,3,10:30,18:00,2
2026-2,20220081,4,08:00,18:00,2
2026-2,20220081,5,08:00,10:30,2
2026-2,20220081,5,12:00,18:00,2
2026-2,20220081,6,09:00,13:00,2
2026-summer,20220081,1,09:00,17:00,2
2026-summer,20220081,2,09:00,12:00,3
2026-summer,20220081,2,12:00,17:00,2
2026-summer,20220081,3,09:00,17:00,2
2026-summer,20220081,4,09:00,17:00,2
2026-summer,20220081,5,09:00,17:00,2
2026-2,20220042,1,08:00,16:30,2
2026-2,20220042,2,08:00,15:00,2
2026-2,20220042,2,16:30,18:00,2
2026-2,20220042,3,08:00,16:30,2
2026-2,20220042,4,08:00,10:30,2
2026-2,20220042,4,12:00,18:00,2
2026-2,20220042,5,08:00,09:00,2
2026-2,20220042,5,10:30,12:00,2
2026-2,20220042,5,12:00,15:00,3
2026-2,20220042,5,15:00,18:00,2
2026-summer,20220042,1,09:00,17:00,2
2026-summer,20220042,2,09:00,12:00,3
2026-summer,20220042,2,12:00,17:00,2
2026-summer,20220042,3,09:00,17:00,2
2026-summer,20220042,4,09:00,12:00,3
2026-summer,20220042,4,12:00,17:00,2
2026-summer,20220042,5,09:00,17:00,2
2026-2,20220912,1,09:00,12:00,3
2026-2,20220912,1,12:00,18:00,2
2026-2,20220912,1,18:00,22:00,3
2026-2,20220912,2,09:00,13:30,2
2026-2,20220912,2,15:00,22:00,2
2026-2,20220912,3,12:00,22:00,2
2026-2,20220912,4,09:00,15:00,2
2026-2,20220912,4,16:30,22:00,2
2026-2,20220912,5,12:00,18:00,2
2026-2,20220912,5,20:00,22:00,2
2026-2,20220912,6,09:00,17:00,2
2026-summer,20220912,1,09:00,13:00,2
2026-summer,20220912,1,13:00,16:00,3
2026-summer,20220912,1,16:00,20:00,2
2026-summer,20220912,2,09:00,20:00,2
2026-summer,20220912,3,12:00,20:00,2
2026-summer,20220912,4,09:00,20:00,2
2026-summer,20220912,5,12:00,20:00,2
2026-summer,20220912,6,09:00,17:00,2
2026-2,20240673,1,08:00,13:30,2
2026-2,20240673,2,08:00,16:30,2
2026-2,20240673,3,08:00,09:00,2
2026-2,20240673,3,09:00,13:30,3
2026-2,20240673,3,15:00,16:30,2
2026-2,20240673,4,08:00,16:30,2
2026-2,20240673,5,08:00,09:00,2
2026-2,20240673,5,10:30,16:30,2
2026-2,20240673,6,09:00,13:00,2
2026-summer,20240673,1,09:00,16:00,2
2026-summer,20240673,2,09:00,16:00,2
2026-summer,20240673,3,09:00,12:00,3
2026-summer,20240673,3,12:00,16:00,2
2026-summer,20240673,4,09:00,16:00,2
