term,student_id,day_of_week,start_time,end_time
2026-2,20220081,1,09:00,10:30
2026-2,20220081,2,13:30,16:30
2026-2,20220081,3,09:00,10:30
2026-2,20220081,5,10:30,12:00
2026-2,20220042,1,16:30,18:00
2026-2,20220042,2,15:00,16:30
2026-2,20220042,3,16:30,18:00
2026-2,20220042,4,10:30,12:00
2026-2,20220042,5,09:00,10:30
2026-2,20220912,2,13:30,15:00
2026-2,20220912,4,15:00,16:30
2026-2,20220912,5,18:00,20:00
2026-summer,20220912,3,09:00,11:00
2026-summer,20220912,5,09:00,11:00
2026-2,20240673,1,13:30,16:30
2026-2,20240673,3,13:30,15:00
2026-2,20240673,5,09:00,10:30
2026-2,20211357,2,10:30,12:00
2026-2,20211357,2,13:30,15:00
2026-2,20211357,4,10:30,12:00
2026-2,20211357,4,15:00,18:00
2026-2,20220055,2,13:30,15:00
2026-2,20220055,4,13:30,15:00
2026-2,20220055,5,09:00,12:00
2026-2,20220091,1,15:00,16:30
2026-2,20220091,3,15:00,16:30
2026-2,20220091,5,13:30,16:30
2026-2,20220077,2,10:30,12:00
2026-2,20220077,3,10:30,12:00
2026-2,20220077,4,10:30,12:00
2026-2,20221818,1,09:00,12:00
2026-2,20221818,3,09:00,10:30
2026-2,20221818,4,13:30,16:30
2026-summer,20221818,2,09:00,11:00
2026-summer,20221818,4,09:00,11:00
2026-2,20220557,1,10:30,12:00
2026-2,20220557,2,15:00,16:30
2026-2,20220557,4,15:00,16:30
