term,course_code,section,title,department_name,credits,professor,enrolled_count,day_of_week,start_time,end_time,room
2026-2,AAT2003,01,Intro to Digital Arts,아트&테크놀로지학과,3.0,이형기,22,1,13:30,16:15,X513
2026-2,AAT2004,01,Intro to Creative Computing,아트&테크놀로지학과,3.0,"Kim, Jee Won",34,3,09:00,10:15,X513
2026-2,AAT2004,01,Intro to Creative Computing,아트&테크놀로지학과,3.0,"Kim, Jee Won",34,5,09:00,10:15,X513
2026-2,AAT2005,01,Creative Capstone Project I(캡스톤디자인),아트&테크놀로지학과,3.0,"정다샘, 오준호, 정해동, 이선옥, 김하연",23,5,16:30,19:00,X427
2026-2,AAT2006,01,Creative Capstone Project II(캡스톤디자인),아트&테크놀로지학과,3.0,"정다샘, 오준호, 정해동, 이선옥, 김하연",14,5,16:30,19:00,X427
2026-2,AAT2008,01,Foundations of Human-Computer Interaction,아트&테크놀로지학과,3.0,최용순,34,1,10:30,11:45,X429
2026-2,AAT2008,01,Foundations of Human-Computer Interaction,아트&테크놀로지학과,3.0,최용순,34,3,10:30,11:45,X429
2026-2,AAT3005,01,Visual Design,아트&테크놀로지학과,3.0,최용순,35,1,12:00,13:15,X427
2026-2,AAT3005,01,Visual Design,아트&테크놀로지학과,3.0,최용순,35,3,12:00,13:15,X427
2026-2,AAT3007,01,Network Media,아트&테크놀로지학과,3.0,"Kim, Jee Won",33,5,10:30,13:15,X513
2026-2,AAT3008,01,Creative Algorithms,아트&테크놀로지학과,3.0,김주섭,18,2,10:30,11:45,X513
2026-2,AAT3008,01,Creative Algorithms,아트&테크놀로지학과,3.0,김주섭,18,4,10:30,11:45,X513
2026-2,AAT3009,01,Sound Production,아트&테크놀로지학과,3.0,오예민,33,5,10:30,13:15,X429
2026-2,AAT3010,01,Visual Story,아트&테크놀로지학과,3.0,김상용,23,2,16:30,17:45,X429
2026-2,AAT3010,01,Visual Story,아트&테크놀로지학과,3.0,김상용,23,4,16:30,17:45,X429
2026-2,AAT3016,01,UI/UX Design(캡스톤디자인),아트&테크놀로지학과,3.0,이선옥,35,1,16:30,17:45,X429
2026-2,AAT3016,01,UI/UX Design(캡스톤디자인),아트&테크놀로지학과,3.0,이선옥,35,3,16:30,17:45,X429
2026-2,AAT3023,01,AI-driven Storytelling,아트&테크놀로지학과,3.0,이선옥,34,1,10:30,11:45,X513
2026-2,AAT3023,01,AI-driven Storytelling,아트&테크놀로지학과,3.0,이선옥,34,3,10:30,11:45,X513
