student_id,career_type,organization,role,period_start,period_end,detail
20220081,인턴,제일기획,인턴,2025-01-01,2025-06-30,광고기획 · 디지털 캠페인 기획 및 운영 보조
20220081,동아리,서강AD (광고동아리),팀원,2023-03-01,2024-06-30,광고기획 · 브랜드 산학협력 캠페인 기획 및 공모전 출품
20220081,봉사,신촌연합교육봉사단,부원,2022-04-01,2022-12-31,교육봉사 · 국어·수학 교육봉사 및 학습 멘토링
20220081,아르바이트,음식점 (신촌),알바생,2022-09-01,2024-04-30,"홀서빙 및 손님 응대, 매장 관리"
20220042,동아리,메시지(MESSY-G),매니저·아트디렉터,2024-03-01,2024-08-31,15기 · 팀 운영 및 아트디렉팅
20220042,동아리,메시지(MESSY-G),아트디렉터·영상PD,2023-03-02,2023-06-23,15기 · 아트디렉팅 및 영상 제작
20220042,동아리,메시지(MESSY-G),영상PD·아트디렉터,2022-06-22,2023-02-28,15기 · 영상 제작 및 아트디렉팅
20220042,대외활동,"인문대학 제35대 학생회 '온(On,溫)'",집행부 홍보소통국원,2023-03-23,2023-12-15,국제인문학부 학생회 홍보·소통 담당
20220042,대외활동,인문대학 매섹션 새내기맞이사업단,부단장,2023-01-02,2023-03-08,국제인문학부 새내기맞이 행사 기획·운영
20220042,대외활동,인문대학 매섹션 비상대책위원회,위원장,2022-12-13,2023-12-15,국제인문학부 비상대책위원회 운영 총괄
20220042,대외활동,인문대학 매섹션 부새내기맞이사업단,단장,2022-01-02,2023-03-01,국제인문학부 새내기맞이 사업 총괄
20220042,아르바이트,투비위드유,,2024-06-24,2025-01-23,"칵테일 제조, 고객 응대"
20220042,아르바이트,수학과학의미 학원,,2022-08-10,2023-02-01,"숙제 채점, 모의고사 제작"
